filename,category,title,expected_extraction_keys,pages,layout_variant
clean_paper_01.pdf,clean_paper,Constraint Memory Drift Study,document_id;layout_variant;benchmark_scope;author_line;timestamp,1,clean_template_2
clean_paper_02.pdf,clean_paper,Document Structure Alignment Review,document_id;layout_variant;benchmark_scope;author_line;timestamp,1,clean_template_3
clean_paper_03.pdf,clean_paper,Packaging OCR Robustness Notes,document_id;layout_variant;benchmark_scope;author_line;timestamp,1,clean_template_4
clean_paper_04.pdf,clean_paper,Temporal Override Evaluation,document_id;layout_variant;benchmark_scope;author_line;timestamp,1,clean_template_1
clean_paper_05.pdf,clean_paper,Instruction Carryover Analysis,document_id;layout_variant;benchmark_scope;author_line;timestamp,1,clean_template_2
clean_paper_06.pdf,clean_paper,Mixed Orientation Asset Audit,document_id;layout_variant;benchmark_scope;author_line;timestamp,1,clean_template_3
clean_paper_07.pdf,clean_paper,Source Arbitration Pilot,document_id;layout_variant;benchmark_scope;author_line;timestamp,1,clean_template_4
clean_paper_08.pdf,clean_paper,Long Context Evidence Benchmark,document_id;layout_variant;benchmark_scope;author_line;timestamp,1,clean_template_1
noisy_scan_01.pdf,noisy_scan,Noisy Scan Packet 01,doc_id;page_number;stamp_text;signature_box,2,scan_variant_2
noisy_scan_02.pdf,noisy_scan,Noisy Scan Packet 02,doc_id;page_number;stamp_text;signature_box,2,scan_variant_3
noisy_scan_03.pdf,noisy_scan,Noisy Scan Packet 03,doc_id;page_number;stamp_text;signature_box,2,scan_variant_4
noisy_scan_04.pdf,noisy_scan,Noisy Scan Packet 04,doc_id;page_number;stamp_text;signature_box,2,scan_variant_1
noisy_scan_05.pdf,noisy_scan,Noisy Scan Packet 05,doc_id;page_number;stamp_text;signature_box,2,scan_variant_2
noisy_scan_06.pdf,noisy_scan,Noisy Scan Packet 06,doc_id;page_number;stamp_text;signature_box,2,scan_variant_3
noisy_scan_07.pdf,noisy_scan,Noisy Scan Packet 07,doc_id;page_number;stamp_text;signature_box,2,scan_variant_4
noisy_scan_08.pdf,noisy_scan,Noisy Scan Packet 08,doc_id;page_number;stamp_text;signature_box,2,scan_variant_1
table_doc_01.pdf,table_heavy,Extraction Key Matrix,document_id;table_headers;confidence;notes,1,table_variant_2
table_doc_02.pdf,table_heavy,Layout Variant Comparison,document_id;table_headers;confidence;notes,1,table_variant_3
table_doc_03.pdf,table_heavy,Table Density Stress Test,document_id;table_headers;confidence;notes,1,table_variant_4
table_doc_04.pdf,table_heavy,Pipeline Regression Checklist,document_id;table_headers;confidence;notes,1,table_variant_1
table_doc_05.pdf,table_heavy,Evidence Arbitration Table Pack,document_id;table_headers;confidence;notes,1,table_variant_2
table_doc_06.pdf,table_heavy,OCR Error Bucket Summary,document_id;table_headers;confidence;notes,1,table_variant_3
table_doc_07.pdf,table_heavy,Timestamp Override Ledger,document_id;table_headers;confidence;notes,1,table_variant_4
table_doc_08.pdf,table_heavy,Cross Source Reconciliation Sheet,document_id;table_headers;confidence;notes,1,table_variant_1
